start
done
         845400 function calls (831173 primitive calls) in 0.725 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      170    0.000    0.000    0.001    0.000 __init__.py:1317(safe_name)
      170    0.000    0.000    0.000    0.000 rcsetup.py:59(__call__)
      170    0.000    0.000    0.002    0.000 traceback.py:282(line)
      170    0.000    0.000    0.001    0.000 genericpath.py:39(isdir)
      169    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      168    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      168    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      168    0.000    0.000    0.002    0.000 docstring.py:90(dedent)
      168    0.000    0.000    0.000    0.000 pyparsing.py:3248(<genexpr>)
      168    0.000    0.000    0.000    0.000 codecs.py:319(decode)
      167    0.000    0.000    0.046    0.000 re.py:232(compile)
      164    0.000    0.000    0.000    0.000 colors.py:439(__init__)
      164    0.000    0.000    0.000    0.000 rcsetup.py:399(validate_string)
      164    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
      160    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
      158    0.000    0.000    0.017    0.000 __init__.py:2548(_version_from_file)
      158    0.000    0.000    0.017    0.000 __init__.py:2770(_get_version)
      158    0.000    0.000    0.018    0.000 __init__.py:2982(_reload_version)
      158    0.000    0.000    0.000    0.000 pyparsing.py:3370(<genexpr>)
      150    0.000    0.000    0.008    0.000 cm.py:81(_generate_cmap)
      148    0.000    0.000    0.000    0.000 rcsetup.py:52(func)
      146    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      144    0.000    0.000    0.000    0.000 matplotlib.py:54(__init__)
      144    0.000    0.000    0.000    0.000 pyparsing.py:2182(__hash__)
      144    0.000    0.000    0.000    0.000 inspect.py:63(ismodule)
